S/N,Procurement Code,Procurement Type,Agency,Procurement Description,Date of Award (2017-2022),Supplier, Awarded Amount 
1566,ITT20170121,ITT,Office of International Relations and Diplomatic Affairs,Comprehensive janitorial services and cleanliness maintenance.,8/2/2017,FreshTech Management," $517,991.00 "
1567,ITT20170122,ITT,Agency for Cultural Preservation and Heritage,Indoor air quality monitoring and improvement measures.,8/2/2017,SafeEdge Property Care," $556,077.00 "
1568,ITT20170123,ITT,Ministry of Strategic Economic Planning,Tenant communication and customer service assistance.,9/2/2017,ApexGuard Facility Services," $198,031.00 "
1569,ITT20170124,ITT,Institute for Social Justice and Equality,Expert landscaping and groundskeeping solutions.,9/2/2017,GreenCrest Facilities Group," $464,892.00 "
1570,ITT20170125,ITT,National Commission for Space Exploration,Fire safety system installation and maintenance.,10/2/2017,BlueSky Property Care," $113,659.00 "
1571,ITT20170126,ITT,Institute for Social Justice and Equality,Fire safety system installation and maintenance.,10/2/2017,SkyHigh Property Management," $211,159.00 "
1572,ITT20170127,ITT,Agency for Cultural Preservation and Heritage,Pest control services for a pest-free environment.,10/2/2017,HorizonView Property Management," $415,945.00 "
1573,ITT20170128,ITT,National Commission for Space Exploration,Space planning and utilization optimization strategies.,10/2/2017,SilverTech Facilities Masters," $549,595.00 "
1574,ITT20170129,ITT,Commission for Ethical Governance,Tenant communication and customer service assistance.,11/2/2017,FreshStart Building Solutions," $166,144.00 "
1575,ITT20170130,ITT,Ministry of Strategic Economic Planning,Building automation and smart technology integration.,11/2/2017,VisionQuest Facility Care," $230,947.00 "
1576,ITT20170131,ITT,National Commission for Space Exploration,Tenant communication and customer service assistance.,11/2/2017,SecureSpace Management," $464,629.00 "
1577,ITT20170132,ITT,National Commission for Space Exploration,Health and safety compliance management and training.,11/2/2017,UrbanEagle Maintenance," $528,157.00 "
1578,ITT20170133,ITT,Ministry of Strategic Economic Planning,Energy-efficient systems and consumption monitoring.,12/2/2017,BlueSail Property Experts," $314,347.00 "
1579,ITT20170134,ITT,Ministry of Strategic Economic Planning,Building automation and smart technology integration.,12/2/2017,TrueView Management," $419,114.00 "
1580,ITT20170135,ITT,Ministry of Strategic Economic Planning,Expert landscaping and groundskeeping solutions.,13/2/2017,SkyHigh Property Management," $401,132.00 "
1581,ITT20170136,ITT,Institute for Social Justice and Equality,Space planning and utilization optimization strategies.,13/2/2017,Reliable Facility Services," $415,541.00 "
1582,ITT20170137,ITT,Department of Advanced Technological Research,Parking management and traffic control solutions.,14/2/2017,GoldenTech Maintenance," $129,526.00 "
1583,ITT20170138,ITT,National Cybersecurity Task Force,Tenant communication and customer service assistance.,14/2/2017,EliteCare Facility Support," $150,893.00 "
1584,ITT20170139,ITT,National Institute of Scientific Advancement,Space planning and utilization optimization strategies.,14/2/2017,StarStone Facility Services," $315,368.00 "
1585,ITT20170140,ITT,Federal Agency for Environmental Protection,24/7 security and access control management.,14/2/2017,GreenWave Facilities Management," $413,068.00 "
1586,ITT20170141,ITT,Bureau of National Security and Intelligence,Expert landscaping and groundskeeping solutions.,14/2/2017,Xtreme Maintenance," $440,733.00 "
1587,ITT20170142,ITT,National Institute of Scientific Advancement,HVAC system maintenance and climate control optimization.,15/2/2017,EliteReach Building Solutions," $251,339.00 "
1588,ITT20170143,ITT,National Institute of Scientific Advancement,Tenant communication and customer service assistance.,15/2/2017,HorizonPro Facility Management," $325,847.00 "
1589,ITT20170144,ITT,Department of Advanced Technological Research,Pest control services for a pest-free environment.,16/2/2017,SilverTech Facilities Masters," $350,475.00 "
1590,ITT20170145,ITT,Federal Agency for Environmental Protection,Building automation and smart technology integration.,16/2/2017,TrueView Management," $366,797.00 "
1591,ITT20170146,ITT,Agency for Cultural Preservation and Heritage,Health and safety compliance management and training.,16/2/2017,AlphaPro Facility Solutions," $389,809.00 "
1592,ITT20170147,ITT,Agency for Cultural Preservation and Heritage,Energy-efficient systems and consumption monitoring.,16/2/2017,SilverTech Facilities Masters," $424,734.00 "
1593,ITT20170148,ITT,Ministry of Strategic Economic Planning,Fire safety system installation and maintenance.,16/2/2017,TrueView Management," $550,832.00 "
1594,ITT20170149,ITT,Commission for Ethical Governance,Cleaning supplies and consumables procurement and management.,17/2/2017,InfiniteSpace Building Solutions," $185,586.00 "
1595,ITT20170150,ITT,Federal Agency for Environmental Protection,Fire safety system installation and maintenance.,17/2/2017,SwiftCrest Property Management," $569,230.00 "
1596,ITT20170151,ITT,Ministry of Strategic Economic Planning,Expert landscaping and groundskeeping solutions.,18/2/2017,AlphaStone Property Support," $143,381.00 "
1597,ITT20170152,ITT,Bureau of Urban Development and Infrastructure,Cleaning supplies and consumables procurement and management.,18/2/2017,InfiniteSpace Building Solutions," $156,558.00 "
1598,ITT20170153,ITT,Commission for Ethical Governance,Fire safety system installation and maintenance.,19/2/2017,SkyQuest Facility Care," $283,200.00 "
1599,ITT20170154,ITT,Commission for Ethical Governance,Energy-efficient lighting installation and maintenance.,19/2/2017,SafeTech Maintenance," $398,530.00 "
1600,ITT20170155,ITT,Commission for Ethical Governance,Energy-efficient lighting installation and maintenance.,19/2/2017,HorizonPro Facility Management," $411,638.00 "
1601,ITT20170156,ITT,National Commission for Space Exploration,Pest control services for a pest-free environment.,20/2/2017,HorizonStone Facility Services," $291,118.00 "
1602,ITT20170157,ITT,National Cybersecurity Task Force,Furniture and equipment maintenance and inventory tracking.,20/2/2017,SkyHarbor Facility Experts," $394,997.00 "
1603,ITT20170158,ITT,Federal Agency for Environmental Protection,Energy-efficient lighting installation and maintenance.,21/2/2017,GrandTech Building Solutions," $206,629.00 "
1604,ITT20170159,ITT,Department of Advanced Technological Research,Building maintenance and repairs.,21/2/2017,FreshEdge Facility Support," $236,148.00 "
1605,ITT20170160,ITT,Ministry of Strategic Economic Planning,Tenant communication and customer service assistance.,21/2/2017,TrueNorth Facility Solutions," $296,494.00 "
1606,ITT20170161,ITT,Institute for Social Justice and Equality,Energy-efficient lighting installation and maintenance.,21/2/2017,BlueCrest Facility Support," $387,856.00 "
1607,ITT20170162,ITT,Department of Energy Conservation and Sustainability,24/7 security and access control management.,22/2/2017,EliteEdge Facilities Group," $156,643.00 "
1608,ITT20170163,ITT,Ministry of Strategic Economic Planning,Furniture and equipment maintenance and inventory tracking.,22/2/2017,Xtreme Maintenance," $196,374.00 "
1609,ITT20170164,ITT,Agency for Cultural Preservation and Heritage,24/7 security and access control management.,22/2/2017,AlphaTech Facilities Management," $232,660.00 "
1610,ITT20170165,ITT,National Commission for Space Exploration,Cleaning supplies and consumables procurement and management.,22/2/2017,InfiniteSpace Building Solutions," $235,523.00 "
1611,ITT20170166,ITT,Ministry of Strategic Economic Planning,Emergency response and disaster recovery planning.,22/2/2017,Xtreme Maintenance," $493,478.00 "
1612,ITT20170167,ITT,Agency for Cultural Preservation and Heritage,Energy-efficient systems and consumption monitoring.,23/2/2017,GreenCrest Facilities Group," $110,847.00 "
1613,ITT20170168,ITT,Department of Advanced Technological Research,Pest control services for a pest-free environment.,23/2/2017,GreenLine Building Experts," $236,176.00 "
1614,ITT20170169,ITT,Department of Advanced Technological Research,Comprehensive janitorial services and cleanliness maintenance.,23/2/2017,GoldenHarbor Management," $309,390.00 "
1615,ITT20170170,ITT,Agency for Cultural Preservation and Heritage,Pest control services for a pest-free environment.,23/2/2017,SafeHarbor Facilities Group," $341,953.00 "
1616,ITT20170171,ITT,Commission for Ethical Governance,Energy-efficient lighting installation and maintenance.,23/2/2017,TruePro Building Experts," $396,694.00 "
1617,ITT20170172,ITT,Department of Public Health and Disease Control,Indoor air quality monitoring and improvement measures.,23/2/2017,StarStone Facility Services," $524,561.00 "
1618,ITT20170173,ITT,National Cybersecurity Task Force,Indoor air quality monitoring and improvement measures.,24/2/2017,BlueReach Property Solutions," $147,296.00 "
1619,ITT20170174,ITT,Commission for Ethical Governance,Energy-efficient systems and consumption monitoring.,24/2/2017,AlphaCrest Property Support," $158,024.00 "
1620,ITT20170175,ITT,National Commission for Space Exploration,Building maintenance and repairs.,24/2/2017,SecureSpace Management," $266,181.00 "
1621,ITT20170176,ITT,Bureau of Urban Development and Infrastructure,Expert landscaping and groundskeeping solutions.,24/2/2017,UrbanGuard Facilities," $370,900.00 "
1622,ITT20170177,ITT,National Cybersecurity Task Force,Pest control services for a pest-free environment.,24/2/2017,AlphaStone Property Support," $397,748.00 "
1623,ITT20170178,ITT,National Commission for Space Exploration,Indoor air quality monitoring and improvement measures.,24/2/2017,FreshTech Management," $398,691.00 "
1624,ITT20170179,ITT,Commission for Ethical Governance,Space planning and utilization optimization strategies.,24/2/2017,SecureReach Property Care," $406,497.00 "
1625,ITT20170180,ITT,Department of Advanced Technological Research,Energy-efficient lighting installation and maintenance.,25/2/2017,SkyHigh Property Management," $135,798.00 "
1626,ITT20170181,ITT,Office of International Relations and Diplomatic Affairs,Space planning and utilization optimization strategies.,25/2/2017,BlueSail Property Experts," $267,352.00 "
1627,ITT20170182,ITT,Office of International Relations and Diplomatic Affairs,Furniture and equipment maintenance and inventory tracking.,25/2/2017,AlphaCrest Property Support," $301,655.00 "
1628,ITT20170183,ITT,Office of Public Safety and Emergency Management,Fire safety system installation and maintenance.,25/2/2017,BlueBreeze Facility Solutions," $326,048.00 "
1629,ITT20170184,ITT,Commission for Ethical Governance,Space planning and utilization optimization strategies.,25/2/2017,TruePro Building Experts," $447,027.00 "
1630,ITT20170185,ITT,Institute for Social Justice and Equality,Pest control services for a pest-free environment.,25/2/2017,HorizonHarbor Property Services," $515,740.00 "
1631,ITT20170186,ITT,National Commission for Space Exploration,Energy-efficient lighting installation and maintenance.,25/2/2017,SecureSpace Management," $608,346.00 "
1632,ITT20170187,ITT,Bureau of Urban Development and Infrastructure,Comprehensive janitorial services and cleanliness maintenance.,26/2/2017,UrbanTech Management," $209,159.00 "
1633,ITT20170188,ITT,Commission for Ethical Governance,Parking management and traffic control solutions.,26/2/2017,CleanSweep Property Management," $213,785.00 "
1634,ITT20170189,ITT,Agency for Cultural Preservation and Heritage,Pest control services for a pest-free environment.,26/2/2017,HorizonHarbor Property Services," $296,097.00 "
1635,ITT20170190,ITT,Institute for Social Justice and Equality,Building maintenance and repairs.,26/2/2017,AlphaStone Property Support," $352,501.00 "
1636,ITT20170191,ITT,Commission for Ethical Governance,Furniture and equipment maintenance and inventory tracking.,26/2/2017,Reliable Facility Services," $411,540.00 "
1637,ITT20170192,ITT,Agency for Cultural Preservation and Heritage,Health and safety compliance management and training.,27/2/2017,TrueView Management," $189,673.00 "
1638,ITT20170193,ITT,National Commission for Space Exploration,Comprehensive janitorial services and cleanliness maintenance.,27/2/2017,InfiniteTech Building Solutions," $280,198.00 "
1639,ITT20170194,ITT,Commission for Ethical Governance,Parking management and traffic control solutions.,27/2/2017,TruePro Building Experts," $318,479.00 "
