S/N,Procurement Code,Procurement Type,Agency,Procurement Description,Date,Supplier,Awarded Amount
1426,ITQ20220047,ITQ,Office of International Relations and Diplomatic Affairs,Indoor air quality monitoring and improvement measures.,2022-07-13,Reliable Facility Services,32107
1427,ITQ20220048,ITQ,Office of International Relations and Diplomatic Affairs,24/7 security and access control management.,2022-07-18,AlphaTech Facilities Management,37340
1428,ITQ20220049,ITQ,Institute for Social Justice and Equality,Parking management and traffic control solutions.,2022-07-25,HorizonPro Facility Management,26893
1429,ITQ20220050,ITQ,Office of International Relations and Diplomatic Affairs,Tenant communication and customer service assistance.,2022-08-13,UrbanEagle Maintenance,33757
1430,ITQ20220051,ITQ,Office of International Relations and Diplomatic Affairs,Energy-efficient lighting installation and maintenance.,2022-08-13,StarStone Facility Services,35089
1431,ITQ20220052,ITQ,Federal Agency for Environmental Protection,Indoor air quality monitoring and improvement measures.,2022-08-15,SafeEdge Property Care,27952
1432,ITQ20220053,ITQ,Institute for Social Justice and Equality,Emergency response and disaster recovery planning.,2022-08-15,GoldenGate Facility Masters,56694
1433,ITQ20220054,ITQ,Office of International Relations and Diplomatic Affairs,Tenant communication and customer service assistance.,2022-08-15,TrueNorth Facility Solutions,85112
1434,ITQ20220055,ITQ,Department of Advanced Technological Research,Furniture and equipment maintenance and inventory tracking.,2022-08-16,GreenEdge Facility Masters,73064
1435,ITQ20220056,ITQ,Office of International Relations and Diplomatic Affairs,Emergency response and disaster recovery planning.,2022-09-25,GrandReach Facility Care,73089
1436,ITQ20220057,ITQ,Institute for Social Justice and Equality,Energy-efficient systems and consumption monitoring.,2022-09-28,EliteTech Property Support,33661
1437,ITQ20220058,ITQ,Department of Advanced Technological Research,Renovation and remodeling project management.,2022-10-08,SilverStone Management,98907
1438,ITQ20220059,ITQ,Office of International Relations and Diplomatic Affairs,Parking management and traffic control solutions.,2022-10-12,GreenWave Facilities Management,87441
1439,ITQ20220060,ITQ,Office of International Relations and Diplomatic Affairs,Indoor air quality monitoring and improvement measures.,2022-10-24,SkyHigh Property Management,15741
1440,ITQ20220061,ITQ,Office of International Relations and Diplomatic Affairs,HVAC system maintenance and climate control optimization.,2022-10-25,BlueCrest Facility Support,41539
1441,ITQ20220062,ITQ,Commission for Ethical Governance,Pest control services for a pest-free environment.,2022-10-26,StarHarbor Facilities Group,31443
1442,ITQ20220063,ITQ,Department of Advanced Technological Research,Renovation and remodeling project management.,2022-11-03,TrueView Management,88653
1443,ITQ20220064,ITQ,Commission for Ethical Governance,HVAC system maintenance and climate control optimization.,2022-11-08,HorizonHarbor Property Services,61259
1444,ITQ20220065,ITQ,Agency for Cultural Preservation and Heritage,Building automation and smart technology integration.,2022-11-15,SwiftCrest Property Management,80313
1445,ITQ20220066,ITQ,Office of International Relations and Diplomatic Affairs,Energy-efficient lighting installation and maintenance.,2022-12-02,HighPoint Property Care,26692
1446,ITT20170001,ITT,Ministry of Strategic Economic Planning,Waste management and recycling program implementation.,2017-01-04,TrustMax Facilities Masters,496066
1447,ITT20170002,ITT,National Cybersecurity Task Force,Fire safety system installation and maintenance.,2017-01-04,SafeEdge Property Care,518384
1448,ITT20170003,ITT,Institute for Social Justice and Equality,Parking management and traffic control solutions.,2017-01-05,AlphaCrest Property Support,262825
1449,ITT20170004,ITT,Department of Advanced Technological Research,HVAC system maintenance and climate control optimization.,2017-01-06,InfiniteGuard Building Care,442783
1450,ITT20170005,ITT,Department of Energy Conservation and Sustainability,Furniture and equipment maintenance and inventory tracking.,2017-01-07,SafeReach Property Solutions,229154
1451,ITT20170006,ITT,Department of Energy Conservation and Sustainability,Furniture and equipment maintenance and inventory tracking.,2017-01-08,SafeTech Maintenance,206863
1452,ITT20170007,ITT,Bureau of Urban Development and Infrastructure,HVAC system maintenance and climate control optimization.,2017-01-08,Reliable Facility Services,455875
1453,ITT20170008,ITT,National Institute of Scientific Advancement,Health and safety compliance management and training.,2017-01-10,GrandView Facilities Group,149237
1454,ITT20170009,ITT,Office of Public Safety and Emergency Management,Indoor air quality monitoring and improvement measures.,2017-01-12,InfiniteGuard Building Care,179796
1455,ITT20170010,ITT,Agency for Cultural Preservation and Heritage,Renovation and remodeling project management.,2017-01-13,InfiniteCare Property Services,155501
1456,ITT20170011,ITT,Commission for Ethical Governance,Space planning and utilization optimization strategies.,2017-01-13,TrustEdge Building Maintenance,254404
1457,ITT20170012,ITT,Agency for Cultural Preservation and Heritage,Energy-efficient systems and consumption monitoring.,2017-01-13,SwiftGuard Management,352620
1458,ITT20170013,ITT,Office of International Relations and Diplomatic Affairs,Pest control services for a pest-free environment.,2017-01-14,VisionQuest Facility Care,139288
1459,ITT20170014,ITT,Ministry of Strategic Economic Planning,Fire safety system installation and maintenance.,2017-01-14,AlphaStone Property Support,185615
1460,ITT20170015,ITT,National Institute of Scientific Advancement,Furniture and equipment maintenance and inventory tracking.,2017-01-14,FreshStart Building Solutions,256425
1461,ITT20170016,ITT,Commission for Ethical Governance,Building maintenance and repairs.,2017-01-15,SecureReach Property Care,104815
1462,ITT20170017,ITT,Federal Agency for Environmental Protection,Furniture and equipment maintenance and inventory tracking.,2017-01-15,Xtreme Maintenance,143770
1463,ITT20170018,ITT,Department of Energy Conservation and Sustainability,Building maintenance and repairs.,2017-01-15,GrandTech Building Solutions,145902
1464,ITT20170019,ITT,Agency for Cultural Preservation and Heritage,Indoor air quality monitoring and improvement measures.,2017-01-15,UrbanTech Management,456304
1465,ITT20170020,ITT,Department of Energy Conservation and Sustainability,Expert landscaping and groundskeeping solutions.,2017-01-16,BlueBreeze Facility Solutions,169414
1466,ITT20170021,ITT,Commission for Ethical Governance,Comprehensive janitorial services and cleanliness maintenance.,2017-01-16,SwiftSail Building Solutions,195037
1467,ITT20170022,ITT,Agency for Cultural Preservation and Heritage,Expert landscaping and groundskeeping solutions.,2017-01-16,GrandPro Facilities Support,277677
1468,ITT20170023,ITT,Commission for Ethical Governance,Building maintenance and repairs.,2017-01-16,InfinitePro Facility Care,308501
1469,ITT20170024,ITT,Ministry of Strategic Economic Planning,Renovation and remodeling project management.,2017-01-16,TrueWave Facilities Management,323709
1470,ITT20170025,ITT,Department of Energy Conservation and Sustainability,Tenant communication and customer service assistance.,2017-01-16,Xtreme Maintenance,449458
1471,ITT20170026,ITT,Institute for Social Justice and Equality,Space planning and utilization optimization strategies.,2017-01-17,BlueCrest Facility Support,284329
1472,ITT20170027,ITT,Federal Agency for Environmental Protection,Building automation and smart technology integration.,2017-01-18,SwiftReach Building Maintenance,218378
1473,ITT20170028,ITT,Institute for Social Justice and Equality,Health and safety compliance management and training.,2017-01-18,UnitedPro Property Services,320214
1474,ITT20170029,ITT,Agency for Cultural Preservation and Heritage,Energy-efficient systems and consumption monitoring.,2017-01-18,TruePro Building Experts,420224
1475,ITT20170030,ITT,Department of Energy Conservation and Sustainability,24/7 security and access control management.,2017-01-18,StarStone Facility Services,433439
1476,ITT20170031,ITT,Institute for Social Justice and Equality,Fire safety system installation and maintenance.,2017-01-18,InfiniteTech Building Solutions,457314
1477,ITT20170032,ITT,Department of Advanced Technological Research,Renovation and remodeling project management.,2017-01-19,GrandReach Facility Care,226127
1478,ITT20170033,ITT,National Institute of Scientific Advancement,Parking management and traffic control solutions.,2017-01-19,UrbanEdge Maintenance,349220
1479,ITT20170034,ITT,National Commission for Space Exploration,Parking management and traffic control solutions.,2017-01-19,AlphaWave Property Solutions,706593
1480,ITT20170035,ITT,Bureau of National Security and Intelligence,Indoor air quality monitoring and improvement measures.,2017-01-20,HorizonHarbor Property Services,103607
1481,ITT20170036,ITT,Department of Energy Conservation and Sustainability,Energy-efficient lighting installation and maintenance.,2017-01-20,InfiniteGuard Building Care,308380
1482,ITT20170037,ITT,Commission for Ethical Governance,Cleaning supplies and consumables procurement and management.,2017-01-20,InfiniteSpace Building Solutions,390846
1483,ITT20170038,ITT,National Commission for Space Exploration,HVAC system maintenance and climate control optimization.,2017-01-20,FreshTech Management,442680
1484,ITT20170039,ITT,Commission for Ethical Governance,Energy-efficient lighting installation and maintenance.,2017-01-21,InfiniteGuard Building Care,205894
1485,ITT20170040,ITT,Ministry of Strategic Economic Planning,Energy-efficient lighting installation and maintenance.,2017-01-21,HorizonHarbor Property Services,224505
1486,ITT20170041,ITT,National Cybersecurity Task Force,Pest control services for a pest-free environment.,2017-01-21,AlphaStone Property Support,447151
1487,ITT20170042,ITT,National Cybersecurity Task Force,Space planning and utilization optimization strategies.,2017-01-21,EverGreen Property Support,460521
1488,ITT20170043,ITT,Office of Public Safety and Emergency Management,Fire safety system installation and maintenance.,2017-01-21,UrbanTech Management,540716
1489,ITT20170044,ITT,Institute for Social Justice and Equality,Tenant communication and customer service assistance.,2017-01-22,SecureReach Property Care,219487
1490,ITT20170045,ITT,National Commission for Space Exploration,Health and safety compliance management and training.,2017-01-22,SilverTech Facilities Masters,324588
1491,ITT20170046,ITT,Department of Public Health and Disease Control,Energy-efficient lighting installation and maintenance.,2017-01-22,SilverStone Management,388068
1492,ITT20170047,ITT,Office of International Relations and Diplomatic Affairs,24/7 security and access control management.,2017-01-22,AlphaCrest Property Support,397169
1493,ITT20170048,ITT,Commission for Ethical Governance,Space planning and utilization optimization strategies.,2017-01-23,GreenPrime Facilities Group,184378
1494,ITT20170049,ITT,Ministry of Strategic Economic Planning,Pest control services for a pest-free environment.,2017-01-23,TrustPro Building Maintenance,247665
1495,ITT20170050,ITT,Agency for Cultural Preservation and Heritage,Fire safety system installation and maintenance.,2017-01-23,SwiftTech Facility Solutions,385888
1496,ITT20170051,ITT,National Institute of Scientific Advancement,24/7 security and access control management.,2017-01-24,SwiftCrest Property Management,246412
1497,ITT20170052,ITT,Institute for Social Justice and Equality,Fire safety system installation and maintenance.,2017-01-24,SkyStone Property Solutions,318890
1498,ITT20170053,ITT,Commission for Ethical Governance,Waste management and recycling program implementation.,2017-01-24,EliteTech Property Support,346300
1499,ITT20170054,ITT,Agency for Cultural Preservation and Heritage,Building maintenance and repairs.,2017-01-24,SwiftTech Facility Solutions,360130
1500,ITT20170055,ITT,National Institute of Scientific Advancement,Renovation and remodeling project management.,2017-01-24,GoldenReach Property Management,537513
1501,ITT20170056,ITT,Commission for Ethical Governance,HVAC system maintenance and climate control optimization.,2017-01-25,HorizonView Property Management,138231
